Unnamed: 0,No,player_name,MLB ID,Date,Pitch ID,Pitch Type,Is Strike,Strike Zone Side,Strike Zone Height,Velocity,Total Spin,True Spin (release),Spin Efficiency (release),Spin Direction,Spin Confidence,Release Extension (ft),VB (trajectory),HB (trajectory),VB (spin),HB (spin),Horizontal Angle,Release Angle,Release Height,Release Side,Gyro Degree (deg),Unique ID,Device Serial Number,player_id,release_spin_rate,release_pos_z,release_pos_x,pfx_z,pfx_x,throws,pitch_type,spin_axis,plate_x,plate_z,release_speed,pfx_x_adj,fb_velo,fb_pfx_x,fb_pfx_z,velo_diff,pfx_x_diff,pfx_z_diff
0,1,player1,-,Thu Jan 19 2023 8:16:00 PM,1674159360,Fastball,NO,7.81,17.69,87.95,2421.4,1601.4,66.1,01:06,0.8,1.7380256652832031,12.71,5.18,12.7,8.0,-1.14,-1.26,5.29,1.28,48.6,309954@1674159360,RBB20XBNR56R,309954,2421.4,5.29,-1.28,1.0591666666666668,-0.4316666666666666,1,FF,213.0,-0.6508333333333333,1.4741666666666668,87.95,-0.4316666666666666,87.80824561403507,-0.410438596491228,1.0773245614035083,-0.1417543859649299,0.0212280701754385,0.0181578947368417
1,2,player1,-,Thu Jan 19 2023 8:16:14 PM,1674159374,Fastball,NO,18.94,29.67,87.76,2402.4,1883.4,78.4,00:48,0.8,1.6584911346435547,16.5,7.81,16.5,7.2,-0.31,-0.38,5.27,1.22,38.38,309954@1674159374,RBB20XBNR56R,309954,2402.4,5.27,-1.22,1.375,-0.6508333333333333,1,FF,204.0,-1.5783333333333334,2.4725,87.76,-0.6508333333333333,87.80824561403507,-0.410438596491228,1.0773245614035083,0.0482456140350677,0.2403947368421052,-0.2976754385964915
2,3,player1,-,Thu Jan 19 2023 8:16:32 PM,1674159392,CurveBall,NO,12.47,36.3,77.51,2359.5,551.3,23.4,06:04,0.9,1.683095932006836,-5.54,-3.67,-5.5,-1.6,0.05,1.48,5.41,1.3,76.49,309954@1674159392,RBB20XBNR56R,309954,2359.5,5.41,-1.3,-0.4616666666666666,0.3058333333333333,1,CU,2.0,-1.0391666666666668,3.025,77.51,0.3058333333333333,87.80824561403507,-0.410438596491228,1.0773245614035083,10.298245614035068,-0.7162719298245614,1.5389912280701752
3,4,player1,-,Thu Jan 19 2023 8:17:01 PM,1674159421,Slider,YES,-4.35,18.2,81.02,2573.6,103.0,4.0,09:58,1.0,1.6817550659179688,0.58,-3.09,0.6,-1.9,-1.56,-0.16,5.17,1.35,87.71,309954@1674159421,RBB20XBNR56R,309954,2573.6,5.17,-1.35,0.0483333333333333,0.2575,1,SL,119.0,0.3625,1.5166666666666666,81.02,0.2575,87.80824561403507,-0.410438596491228,1.0773245614035083,6.788245614035077,-0.6679385964912281,1.0289912280701752
4,5,player1,-,Thu Jan 19 2023 8:17:16 PM,1674159436,Slider,NO,11.74,37.21,81.37,2560.9,126.3,4.9,09:36,0.9,1.755239486694336,0.48,-5.63,0.5,-2.2,0.32,1.22,5.16,1.15,87.17,309954@1674159436,RBB20XBNR56R,309954,2560.9,5.16,-1.15,0.04,0.4691666666666667,1,SL,108.0,-0.9783333333333334,3.1008333333333336,81.37,0.4691666666666667,87.80824561403507,-0.410438596491228,1.0773245614035083,6.438245614035068,-0.8796052631578948,1.0373245614035085
5,6,player1,-,Thu Jan 19 2023 8:17:31 PM,1674159451,Fastball,YES,-1.7,19.23,86.85,2517.5,1732.8,68.8,01:12,0.8,1.8137664794921875,12.72,0.6,12.7,9.1,-1.42,-1.49,5.32,1.12,46.5,309954@1674159451,RBB20XBNR56R,309954,2517.5,5.32,-1.12,1.06,-0.0499999999999999,1,FF,216.0,0.1416666666666666,1.6025,86.85,-0.0499999999999999,87.80824561403507,-0.410438596491228,1.0773245614035083,0.9582456140350786,-0.360438596491228,0.0173245614035084
6,7,player1,-,Thu Jan 19 2023 8:17:53 PM,1674159473,Slider,YES,7.87,31.32,80.95,2444.9,268.2,11.0,10:18,0.8,1.755157470703125,1.78,-5.01,1.8,-3.0,-0.12,-0.03,5.21,1.19,83.7,309954@1674159473,RBB20XBNR56R,309954,2444.9,5.21,-1.19,0.1483333333333333,0.4175,1,SL,129.0,-0.6558333333333334,2.61,80.95,0.4175,87.80824561403507,-0.410438596491228,1.0773245614035083,6.85824561403507,-0.827938596491228,0.9289912280701752
7,8,player1,-,Thu Jan 19 2023 8:18:20 PM,1674159500,Fastball,YES,1.53,29.34,88.3,2534.5,1564.6,61.7,00:46,0.8,1.6716690063476562,13.46,-1.62,13.5,5.3,-0.85,-0.76,5.39,1.06,51.88,309954@1674159500,RBB20XBNR56R,309954,2534.5,5.39,-1.06,1.1216666666666668,0.135,1,FF,203.0,-0.1275,2.445,88.3,0.135,87.80824561403507,-0.410438596491228,1.0773245614035083,-0.4917543859649242,-0.5454385964912281,-0.0443421052631582
8,9,player1,-,Thu Jan 19 2023 8:18:39 PM,1674159519,Slider,NO,10.66,35.83,79.14,2631.2,460.4,17.5,08:36,0.9,1.7137203216552734,-0.68,-4.26,-0.7,-5.4,-0.08,1.9,5.15,1.32,79.92,309954@1674159519,RBB20XBNR56R,309954,2631.2,5.15,-1.32,-0.0566666666666666,0.355,1,SL,78.0,-0.8883333333333333,2.9858333333333333,79.14,0.355,87.80824561403507,-0.410438596491228,1.0773245614035083,8.668245614035072,-0.765438596491228,1.1339912280701752
9,10,player1,-,Thu Jan 19 2023 8:18:59 PM,1674159539,Fastball,NO,26.55,46.51,87.74,2525.3,1573.6,62.3,00:52,0.8,1.7396163940429688,12.98,0.83,13.0,6.1,1.17,1.19,5.26,1.05,51.45,309954@1674159539,RBB20XBNR56R,309954,2525.3,5.26,-1.05,1.0816666666666668,-0.0691666666666666,1,FF,206.0,-2.2125,3.875833333333333,87.74,-0.0691666666666666,87.80824561403507,-0.410438596491228,1.0773245614035083,0.068245614035078,-0.3412719298245614,-0.0043421052631582
