Rk.,Team,Runs Prevented,OAA,In,"To
Player's Right","To
Player's Left",Back,RHB,LHB,Success Rate,"Estimated
Success Rate","Success
Rate Added"
1,Cardinals,41,52,30,5,8,9,30,21,80%,79%,1%
2,Astros,30,36,23,-1,11,3,31,5,79%,78%,1%
3,Giants,24,30,17,15,1,-2,21,10,79%,78%,1%
4,Rangers,24,27,-5,12,16,3,14,12,79%,78%,1%
5,Rays,26,27,5,5,16,1,7,20,80%,79%,1%
6,Mets,19,26,9,5,6,5,10,16,79%,78%,1%
7,Royals,20,25,9,15,0,1,13,13,77%,76%,1%
8,Athletics,16,21,22,-5,-1,5,19,1,78%,77%,1%
9,Guardians,15,19,6,7,6,-1,12,6,79%,78%,1%
10,Cubs,7,11,-1,9,3,1,-1,12,78%,77%,1%
11,Padres,7,11,7,4,-7,5,6,5,79%,79%,0%
12,Braves,8,10,21,-7,-5,2,-1,11,79%,79%,0%
13,Twins,6,7,1,3,2,1,16,-9,79%,79%,0%
14,Rockies,2,3,7,-10,4,2,10,-8,79%,78%,1%
15,Blue Jays,-5,-6,-9,-6,5,3,-4,-2,79%,79%,0%
16,Mariners,-6,-6,3,-3,-10,3,-10,4,78%,78%,0%
17,Marlins,-6,-8,1,-5,-8,3,-1,-7,78%,78%,0%
18,White Sox,-7,-8,-2,-2,-4,0,-10,2,78%,78%,0%
19,Pirates,-10,-11,5,-9,-10,3,6,-18,78%,79%,-1%
20,D-backs,-10,-13,2,-6,-8,-1,-6,-7,77%,78%,-1%
21,Tigers,-14,-16,-7,-4,-11,4,-13,-4,77%,78%,-1%
22,Brewers,-11,-17,-9,-10,-2,3,-5,-12,79%,80%,-1%
23,Dodgers,-14,-17,-2,-11,-5,1,-15,-2,79%,80%,-1%
24,Yankees,-17,-21,-10,-6,-3,-2,-18,-2,77%,78%,-1%
25,Angels,-20,-24,11,-13,-21,-1,-15,-8,77%,78%,-1%
26,Phillies,-19,-24,-2,-6,-13,-2,-19,-5,76%,77%,-1%
27,Nationals,-21,-26,5,-4,-20,-7,-29,3,78%,78%,0%
28,Orioles,-23,-30,-4,-14,-12,1,-16,-14,77%,78%,-1%
29,Reds,-32,-38,-5,-13,-23,3,-22,-16,77%,78%,-1%
30,Red Sox,-30,-39,-7,-20,-11,-2,-28,-11,76%,77%,-1%
