playerId,abbrevName,playerFullName,player,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,Bats,wOBA,PA,AVG,2B,3B,HR,SLG,OBP,K%,BB%,K,BB,Swing%,Miss%,Chase%
1150203136,R. Morash,Ryan Morash,Morash,2B,Hofstra University,HOF,730245120,Hofstra,BBC,R,R,R,.313,354,.288,16,1,5,.388,.328,6.8%,3.4%,24,12,55.1%,13.6%,27.6%
1150203392,A. D'onofrio,Anthony D'onofrio,D'onofrio,3B,Hofstra University,HOF,730245120,Hofstra,BBC,R,R,R,.316,495,.249,28,7,4,.377,.340,12.3%,9.5%,61,47,43.8%,16.1%,22.8%
1197352448,M. Mensah,Myles Mensah,Mensah,2B,Hofstra University,HOF,730245120,Hofstra,BBC,R,R,R,.196,54,.180,0,0,0,.180,.241,27.8%,7.4%,15,4,47.6%,30.8%,18.5%
1197352960,T. White,Tyler White,White,RF,Hofstra University,HOF,730245120,Hofstra,BBC,R,R,R,.278,62,.196,2,0,1,.294,.317,17.7%,14.5%,11,9,38.1%,21.6%,11.5%
1197355008,V. Costello,Vinnie Costello,Costello,CF,Hofstra University,HOF,730245120,Hofstra,BBC,R,R,R,.256,90,.167,3,0,2,.292,.277,41.1%,11.1%,37,10,45.9%,47.4%,18.4%
1223436288,S. Flaherty,Sean Flaherty,Flaherty,DH,Hofstra University,HOF,730245120,Hofstra,BBC,L,R,S,.303,146,.197,7,1,2,.325,.345,26.7%,17.1%,39,25,42.3%,31.2%,15.9%
1223436544,A. Sica,Alex Sica,Sica,DH,Hofstra University,HOF,730245120,Hofstra,BBC,R,R,R,.187,132,.128,5,0,0,.171,.220,41.7%,9.1%,55,12,49.0%,41.1%,30.2%
1302777088,A. Gauthier,Austin Gauthier,Gauthier,SS,Hofstra University,HOF,730245120,Hofstra,BBC,R,R,R,.404,342,.315,21,3,8,.502,.440,18.4%,17.5%,63,60,35.8%,19.6%,13.1%
1302777344,J. Joyce,Jimmy Joyce,Joyce,RF,Hofstra University,HOF,730245120,Hofstra,BBC,R,R,R,.274,63,.228,2,0,1,.316,.302,25.4%,6.3%,16,4,48.7%,37.7%,18.8%
1197353472,R. Weissheier,Rob Weissheier,Weissheier,1B,Hofstra University,HOF,730245120,Hofstra,BBC,R,R,R,.409,329,.291,20,3,16,.570,.413,19.1%,14.3%,63,47,38.8%,21.7%,13.2%
1119135744,P. Quinn,Parker Quinn,Quinn,CF,Hofstra University,HOF,730245120,Hofstra,BBC,R,R,R,.245,140,.220,3,0,3,.311,.257,37.1%,3.6%,52,5,46.8%,32.5%,27.0%
1146545920,S. Rausch,Sean Rausch,Rausch,RF,Hofstra University,HOF,730245120,Hofstra,BBC,L,L,L,.273,86,.221,3,2,0,.312,.302,34.9%,5.8%,30,5,51.3%,39.6%,25.0%
1197353984,A. Pollack,Austin Pollack,Pollack,DH,Hofstra University,HOF,730245120,Hofstra,BBC,R,R,R,.343,129,.230,7,0,2,.360,.395,21.7%,12.4%,28,16,49.1%,29.0%,19.5%
1302777600,D. Page,Daniel Page,Page,2B,Hofstra University,HOF,730245120,Hofstra,BBC,R,R,R,.294,82,.145,2,0,0,.182,.382,37.8%,18.3%,31,15,40.8%,30.0%,16.0%
1252485632,M. Siedem,Matt Siedem,Siedem,C,Hofstra University,HOF,730245120,Hofstra,BBC,R,R,R,.102,30,.040,0,0,0,.040,.138,16.7%,6.7%,5,2,37.7%,15.0%,14.9%
1277670144,K. O'Connor,Kevin O'Connor,O'Connor,LF,Hofstra University,HOF,730245120,Hofstra,BBC,R,R,R,.336,92,.247,6,0,1,.370,.389,20.7%,17.4%,19,16,42.0%,22.3%,10.5%
1082266624,V. Friscia,Vito Friscia,Friscia,C,Hofstra University,HOF,730245120,Hofstra,BBC,R,R,R,.382,200,.299,14,0,8,.527,.395,19.5%,13.5%,39,27,39.0%,18.1%,10.9%
1193779968,S. Rosso,Santino Rosso,Rosso,2B,Hofstra University,HOF,730245120,Hofstra,BBC,S,R,S,.339,284,.268,17,2,5,.418,.358,13.7%,12.0%,39,34,43.5%,18.3%,19.5%
1301208320,B. Goulard,Brian Goulard,Goulard,1B,Hofstra University,HOF,730245120,Hofstra,BBC,L,L,L,.302,149,.231,7,1,5,.415,.295,18.8%,8.1%,28,12,42.3%,16.6%,18.1%
1234059520,K. Bruggeman,Kevin Bruggeman,Bruggeman,C,Hofstra University,HOF,730245120,Hofstra,BBC,R,R,R,.310,238,.248,7,3,5,.379,.321,21.4%,7.1%,51,17,47.3%,23.8%,23.8%
1309616128,W. Kennedy,Will Kennedy,Kennedy,LF,Hofstra University,HOF,730245120,Hofstra,BBC,L,L,L,.378,200,.320,14,4,3,.492,.385,24.5%,9.5%,49,19,44.0%,25.1%,18.1%
